States,Year,Total Accidents,population,Accident Rate
Perlis,2011,1791,237.3,7.55
Kedah,2011,19699,1971.8,9.99
PulauPinang,2011,37158,1601,23.21
Perak,2011,33506,2402.7,13.95
Selangor,2011,128876,5600.3,23.01
KualaLumpur,2011,58795,1693,34.73
NegeriSembilan,2011,21157,1047.4,20.2
Melaka,2011,14720,833.2,17.67
Johor,2011,59501,3410.5,17.45
Pahang,2011,19001,1526.8,12.44
Kelantan,2011,9603,1618.8,5.93
Trengganu,2011,10684,1079,9.9
Sabah,2011,16585,3345.5,4.96
Sarawak,2011,17964,2527.9,7.11
Perlis,2012,1881,239.4,7.86
Kedah,2012,19935,2001.1,9.96
PulauPinang,2012,37851,1623.2,23.32
Perak,2012,34714,2427,14.3
Selangor,2012,129106,5702.4,22.64
KualaLumpur,2012,61872,1702.1,36.35
NegeriSembilan,2012,22146,1057.7,20.94
Melaka,2012,15195,843.2,18.02
Johor,2012,62316,3450.4,18.06
Pahang,2012,20554,1547.1,13.29
Kelantan,2012,9968,1651,6.04
Trengganu,2012,10861,1094.1,9.93
Sabah,2012,17446,3432.7,5.08
Sarawak,2012,18578,2569.7,7.23
Perlis,2013,1895,242.1,7.83
Kedah,2013,20228,2039.8,9.92
PulauPinang,2013,39361,1662.6,23.67
Perak,2013,35408,2447.2,14.47
Selangor,2013,135024,5904.7,22.87
KualaLumpur,2013,64527,1723.4,37.44
NegeriSembilan,2013,23066,1072.2,21.51
Melaka,2013,16083,856.7,18.77
Johor,2013,64600,3474.4,18.59
Pahang,2013,20130,1568.7,12.83
Kelantan,2013,9748,1683.5,5.79
Trengganu,2013,10996,1113.4,9.88
Sabah,2013,17438,3611.5,4.83
Sarawak,2013,18700,2642.5,7.08
Perlis,2014,1888,245.1,7.7
Kedah,2014,20159,2062.7,9.77
PulauPinang,2014,38747,1678.1,23.09
Perak,2014,35131,2458.8,14.29
Selangor,2014,137809,6051.3,22.77
KualaLumpur,2014,63535,1737.4,36.57
NegeriSembilan,2014,23748,1079.6,22
Melaka,2014,16375,871.7,18.79
Johor,2014,64473,3559.8,18.11
Pahang,2014,19071,1591.7,11.98
Kelantan,2014,9383,1723.4,5.44
Trengganu,2014,10326,1140.4,9.05
Sabah,2014,17693,3669.9,4.82
Sarawak,2014,17858,2664,6.7
Perlis,2015,1861,248.5,7.49
Kedah,2015,22016,2096.5,10.5
PulauPinang,2015,39856,1698.1,23.47
Perak,2015,36736,2466.9,14.89
Selangor,2015,140957,6178,22.82
KualaLumpur,2015,64664,1780.4,36.32
NegeriSembilan,2015,22939,1088.8,21.07
Melaka,2015,17069,889,19.2
Johor,2015,67112,3610.3,18.59
Pahang,2015,19635,1607.9,12.21
Kelantan,2015,9960,1760.6,5.66
Trengganu,2015,10381,1161,8.94
Sabah,2015,17290,3720.5,4.65
Sarawak,2015,19130,2701.5,7.08
Perlis,2016,2062,251,8.22
Kedah,2016,23200,2119.7,10.94
PulauPinang,2016,42244,1717.7,24.59
Perak,2016,38531,2482.1,15.52
Selangor,2016,151253,6291.5,24.04
KualaLumpur,2016,68866,1789.7,38.48
NegeriSembilan,2016,24428,1099.3,22.22
Melaka,2016,18601,901.1,20.64
Johor,2016,73116,3651.8,20.02
Pahang,2016,20465,1626.7,12.58
Kelantan,2016,10544,1796.7,5.87
Trengganu,2016,10793,1183.4,9.12
Sabah,2016,17298,3802.8,4.55
Sarawak,2016,20065,2738.7,7.33
Perlis,2017,1925,252,7.64
Kedah,2017,23262,2143.9,10.85
PulauPinang,2017,43007,1744.1,24.66
Perak,2017,38587,2493.2,15.48
Selangor,2017,154958,6380.7,24.29
KualaLumpur,2017,72940,1793.2,40.68
NegeriSembilan,2017,24941,1114,22.39
Melaka,2017,18771,913.1,20.56
Johor,2017,76121,3697,20.59
Pahang,2017,20813,1647,12.64
Kelantan,2017,10786,1829,5.9
Trengganu,2017,10713,1208,8.87
Sabah,2017,17244,3855.9,4.47
Sarawak,2017,19807,2766.3,7.16
Perlis,2018,2093,253.5,8.26
Kedah,2018,23239,2163,10.74
PulauPinang,2018,45734,1762.8,25.94
Perak,2018,38278,2503.5,15.29
Selangor,2018,163078,6475,25.19
KualaLumpur,2018,72284,1790,40.38
NegeriSembilan,2018,25123,1122.9,22.37
Melaka,2018,19120,922.4,20.73
Johor,2018,78812,3749.4,21.02
Pahang,2018,20641,1664.7,12.4
Kelantan,2018,10983,1860.5,5.9
Trengganu,2018,10607,1228.3,8.64
Sabah,2018,18006,3898.4,4.62
Sarawak,2018,20600,2791.7,7.38
Perlis,2019,2098,254,8.26
Kedah,2019,24867,2173.7,11.44
Perak,2019,39720,2508.8,15.83
PulauPinang,2019,47198,1768.8,26.68
Selangor,2019,168222,6506.1,25.86
KualaLumpur,2019,73771,1782.5,41.39
NegeriSembilan,2019,25838,1126.2,22.94
Melaka,2019,19593,928.4,21.1
Johor,2019,82502,3761.2,21.94
Pahang,2019,21196,1671.4,12.68
Kelantan,2019,11295,1883.8,6
Trengganu,2019,11355,1244.5,9.12
Sabah,2019,18520,3904.4,4.74
Sarawak,2019,21341,2806,7.61
Perlis,2020,1615,284.9,5.67
Kedah,2020,19651,2131.4,9.22
Perak,2020,30669,2496,12.29
PulauPinang,2020,35234,1740.4,20.24
Selangor,2020,123230,6994.4,17.62
KualaLumpur,2020,50215,1982.1,25.33
NegeriSembilan,2020,19905,1200,16.59
Melaka,2020,14543,998.4,14.57
Johor,2020,58207,4009.7,14.52
Pahang,2020,17000,1591.3,10.68
Kelantan,2020,9752,1792.5,5.44
Trengganu,2020,9152,1149.4,7.96
Sabah,2020,12906,3418.8,3.78
Sarawak,2020,16158,2453.7,6.59
Perlis,2021,905,287.6,3.15
Kedah,2021,10632,2151.7,4.94
Perak,2021,15590,2515.8,6.2
PulauPinang,2021,18166,1740,10.44
Selangor,2021,60370,7014.7,8.61
KualaLumpur,2021,22037,1964,11.22
NegeriSembilan,2021,9611,1204.2,7.98
Melaka,2021,7130,1004.5,7.1
Johor,2021,28157,4020,7
Pahang,2021,8071,1601.5,5.04
Kelantan,2021,4403,1812.3,2.43
Trengganu,2021,4539,1170.7,3.88
Sabah,2021,7159,3412.6,2.10
Sarawak,2021,7883,2465.6,3.20
