States,Total Accidents,Fatal Accidents,Serious Accidents,Minor Accidents,Damage-Only Accidents,Year
Perlis,1791,73,231,246,1241,2011
Kedah,19699,506,499,1023,17671,2011
Pulau Pinang,37158,375,160,320,36303,2011
Perak,33506,739,700,1267,30800,2011
Selangor,128876,1015,457,689,126715,2011
Kuala Lumpur,58795,230,83,497,57985,2011
Negeri Sembilan,21157,343,444,945,19425,2011
Melaka,14720,224,147,382,13967,2011
Johor,59501,1001,366,1007,57127,2011
Pahang,19001,485,255,403,17858,2011
Kelantan,9603,343,620,1437,7203,2011
Terengganu,10684,274,251,349,9810,2011
Sabah,16585,350,428,467,15340,2011
Sarawak,17964,391,234,406,16933,2011
Perlis,1881,69,286,233,1293,2012
Kedah,19935,529,475,1036,17895,2012
Pulau Pinang,37851,373,129,176,37173,2012
Perak,34714,693,564,1072,32385,2012
Selangor,129106,1053,408,693,126952,2012
Kuala Lumpur,61872,241,70,357,61204,2012
Negeri Sembilan,22146,328,479,871,20468,2012
Melaka,15195,222,169,406,14398,2012
Johor,62316,985,378,1263,59690,2012
Pahang,20554,484,238,373,19459,2012
Kelantan,9968,347,500,1560,7561,2012
Terengganu,10861,270,264,413,9914,2012
Sabah,17446,398,516,470,16062,2012
Sarawak,18578,389,218,475,17496,2012
Perlis,1895,68,226,233,1368,2013
Kedah,20228,487,379,787,18575,2013
Pulau Pinang,39361,371,132,76,38782,2013
Perak,35408,707,439,795,33467,2013
Selangor,135024,964,164,356,133540,2013
Kuala Lumpur,64527,226,71,67,64163,2013
Negeri Sembilan,23066,352,383,759,21572,2013
Melaka,16083,244,109,202,15528,2013
Johor,64600,1032,271,1055,62242,2013
Pahang,20130,505,175,356,19094,2013
Kelantan,9748,340,396,917,8095,2013
Terengganu,10996,294,199,226,10277,2013
Sabah,17438,347,456,304,16331,2013
Sarawak,18700,371,167,390,17772,2013
Perlis,1888,58,220,268,1342,2014
Kedah,20159,495,362,863,18439,2014
Pulau Pinang,38747,355,154,167,38071,2014
Perak,35131,685,438,688,33320,2014
Selangor,137809,1027,194,301,136287,2014
Kuala Lumpur,63535,231,142,1166,61996,2014
Negeri Sembilan,23748,346,329,689,22384,2014
Melaka,16375,222,187,131,15835,2014
Johor,64473,946,193,687,62647,2014
Pahang,19071,472,165,313,18121,2014
Kelantan,9383,321,274,807,7981,2014
Terengganu,10326,255,194,325,9552,2014
Sabah,17693,384,443,373,16493,2014
Sarawak,17858,390,182,321,16965,2014
Perlis,1861,63,166,278,1354,2015
Kedah,22016,502,296,873,20345,2015
Pulau Pinang,39856,354,164,124,39214,2015
Perak,36736,670,595,605,34866,2015
Selangor,140957,975,190,187,139605,2015
Kuala Lumpur,64664,242,99,460,63863,2015
Negeri Sembilan,22939,334,337,690,21578,2015
Melaka,17069,227,136,63,16643,2015
Johor,67112,955,136,384,65637,2015
Pahang,19635,477,142,301,18715,2015
Kelantan,9960,379,220,841,8520,2015
Terengganu,10381,280,162,322,9617,2015
Sabah,17290,343,369,307,16271,2015
Sarawak,19130,392,198,298,18242,2015
Perlis,2062,66,167,286,1543,2016
Kedah,23200,539,338,820,21503,2016
Pulau Pinang,42244,398,230,294,41322,2016
Perak,38531,719,666,342,36804,2016
Selangor,151253,1062,349,224,149618,2016
Kuala Lumpur,68866,222,72,488,68084,2016
Negeri Sembilan,24428,376,299,740,23013,2016
Melaka,18601,228,102,42,18229,2016
Johor,73116,1029,177,277,71633,2016
Pahang,20465,481,145,156,19683,2016
Kelantan,10544,409,258,921,8956,2016
Terengganu,10793,317,159,344,9973,2016
Sabah,17298,338,354,298,16308,2016
Sarawak,20065,386,162,295,19222,2016
Perlis,1925,60,104,234,1527,2017
Kedah,23262,528,187,654,21893,2017
Pulau Pinang,43007,382,158,97,42370,2017
Perak,38587,658,299,268,37362,2017
Selangor,154958,1047,239,147,153525,2017
Kuala Lumpur,72940,233,69,788,71850,2017
Negeri Sembilan,24941,332,225,579,23805,2017
Melaka,18771,217,67,34,18453,2017
Johor,76121,986,182,268,74685,2017
Pahang,20813,446,115,99,20153,2017
Kelantan,10786,389,194,1002,9201,2017
Terengganu,10713,299,79,201,10134,2017
Sabah,17244,312,335,239,16358,2017
Sarawak,19807,376,215,309,18907,2017
Perlis,2093,61,37,223,1772,2018
Kedah,23239,478,213,566,21982,2018
Pulau Pinang,45734,381,115,61,45177,2018
Perak,38278,633,294,332,37019,2018
Selangor,163078,1004,242,188,161644,2018
Kuala Lumpur,72284,227,59,347,71651,2018
Negeri Sembilan,25123,341,180,455,24147,2018
Melaka,19120,185,90,42,18803,2018
Johor,78812,898,173,196,77545,2018
Pahang,20641,425,93,79,20044,2018
Kelantan,10983,380,185,1208,9210,2018
Terengganu,10607,256,114,162,10075,2018
Sabah,18006,280,243,187,17296,2018
Sarawak,20600,321,204,190,19885,2018
Perlis,2098,74,17,188,1819,2019
Kedah,24867,439,219,768,23441,2019
Perak,39720,616,354,347,38403,2019
Pulau Pinang,47198,370,104,37,46687,2019
Selangor,168222,1008,353,447,166414,2019
Kuala Lumpur,73771,209,50,294,73218,2019
Negeri Sembilan,25838,313,283,569,24673,2019
Melaka,19593,202,68,84,19239,2019
Johor,82502,966,189,209,81138,2019
Pahang,21196,398,141,158,20499,2019
Kelantan,11295,310,172,1220,9593,2019
Terengganu,11355,251,151,229,10724,2019
Sabah,18520,256,284,253,17727,2019
Sarawak,21341,352,196,248,20545,2019
Perlis,1615,43,9,190,1373,2020
Kedah,19651,343,149,1008,18151,2020
Perak,30669,430,360,1497,28382,2020
Pulau Pinang,35234,278,86,156,34714,2020
Selangor,123230,764,411,1973,120082,2020
Kuala Lumpur,50215,161,37,216,49801,2020
Negeri Sembilan,19905,219,455,1055,18176,2020
Melaka,14543,142,110,108,14183,2020
Johor,58207,638,319,698,56552,2020
Pahang,17000,313,124,315,16248,2020
Kelantan,9752,265,233,1659,7595,2020
Terengganu,9152,208,134,210,8600,2020
Sabah,12906,190,146,211,12359,2020
Sarawak,16158,303,134,358,15363,2020
Perlis,905,20,9,82,794,2021
Kedah,10632,218,101,588,9725,2021
Perak,15590,290,107,901,14292,2021
Pulau Pinang,18166,239,51,243,17686,2021
Selangor,60370,367,308,954,58688,2021
Kuala Lumpur,22037,98,24,128,21787,2021
Negeri Sembilan,9611,133,193,436,8849,2021
Melaka,7130,72,72,103,6883,2021
Johor,28157,358,159,321,27319,2021
Pahang,8071,161,109,501,7300,2021
Kelantan,4403,130,91,794,3388,2021
Terengganu,4539,93,71,87,4288,2021
Sabah,7159,99,90,107,6863,2021
Sarawak,7883,143,77,185,7478,2021
